Authors;Year;Title;Journal;study.ID;carbon;n
Farrant et al;1987;Nutrition of the temperate Australian soft coral Capnella gaboensis;Marine Biology;115;NoData;1
McFadden;1986;Colony fission increases particle capture rates of a soft coral: Advantages of being a small colony;Journal of Experimental Marine Biology and Ecology;116;NoData;1
Russo;1985;Ecological observations on the gorgonian sea fan Eunicella cavolinii in the Bay of Naples;Marine Ecology Progress Series;117;NoData;1
Coffroth;1984;Ingestion and incorporation of cora mucus aggregates by a gorgonian soft coral;Marine Ecology Progress Series;118;Data;1
Patterson;1984;Patterns of whole colony prey capture in the octocoral;Biological Bulletin;119;NoData;1
Sebens;1984;Water flow and coral colony size: Interhabitat comparisons of the octocoral Alcyonium siderium;PNAS;120;NoData;1
Sebens and Koehl;1984;Predation on zooplankton by the benthic anthozoans Alcyonium siderium (Alcyonacea) and Metridium senile (Actiniaria) in the New England subtidal;Marine Biology;121;NoData;1
Lasker et al;1983;Effects of depth on the feeding capabilities of two octocorals;Marine Biology;122;NoData;1
Schlichter et al;1983;Functional autotrophy of Heteroxenia fuscescens (Anthozoa: Alcyonaria): carbon assimilation and translocation of photosynthates from symbionts to host;Marine Biology;123;Data;1
Lewis;1982;Feeding behaviour and feeding ecology of the Octocorallia (Coelenterata: Anthozoa);Journal of Zoology;124;NoData;1
Schlichter;1982;Nutritional strategies of cnidarians: The absorption, translocation and utilization of dissolved nutrients by Heteroxenia fuscescens;American Zoologist;125;NoData;1
Schlichter;1982;Epidermal nutrition of the alcyonarian Heteroxenia fuscescens (Ehrb.): absorption of dissolved organic material and lost endogenous photosynthates;Oecologia;126;NoData;1
Lasker;1981;A comparison of the particulate feeding abilities of 3 species of gorgonian soft coral;Marine Ecology Progress Series;127;NoData;1
Murdock;1978;Digestion, assimilation and transport of food in the gastrovascular cavity of a gorgonian octocoral (Cnidaria;;128;NoData;1
Mergner and Svoboda;1977;Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea);Helgoländer Wissenschaftliche Meeresuntersuchungen;129;Data;1
Leversee;1976;Flow and feeding in fan-shaped colonies of the gorgonian coral, Leptogorgia;Biological Bulletin;130;NoData;1
Hartnoll;1975;The annual cycle of Alcyonium digitatum;Estuarine and Coastal Marine Science;131;NoData;1
Grigg;1972;Orientation and growth form of sea fans;Limnology and Oceanography;132;NoData;1
Goreau;1971;Reef Corals: Autotrophs or Heterotrophs?;The Biological Bulletin;133;NoData;1
Wainwright and Dillon;1969;On the orientation of sea fans (genus Gorgonia);Biological Bulletin;134;NoData;1
Roushdy and Hansen;1961;Filtration of phytoplankton by the octocoral Alcyonium digitatum L.;Nature;135;NoData;1
