OrigName;Group;Family;Genus;Species;AphiaID;rank;UsedName;study ID;Authors;Year;Title;Journal;OctoClade;ZooClade;Symbiont;Realm;Province;Ecoregion;Climate;DepthMin;DepthMax;StudyType;StudyTypeN;ResearchProblem;ResearchProblemN;Hmean;Hsd;Hconsidering;Pmean;Psd;Rmean;Rsd;CHARmean;CZARmean;SfG;count;revision ok?;info
Paramuricea biscaya;Holaxonia;Plexauridae;Paramuricea;Paramuricea biscaya;125385;Species;Paramuricea biscaya;18;Girard et al;2016;Mutualistic symbiosis with ophiuroids limited the impact of the Deepwater Horizon oil spill on deep-sea octocorals;Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Northern Atlantic;Warm Temperate Northwest Atlantic;Northern Gulf of Mexico;Temperate;1500;1500;Descriptive field study;1;"Feeding responses to environmental forces; Other subjects";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Gersemia fruticosa;Alcyoniina;Nephtheidae;Gersemia;Gersemia fruticosa;156101;Species;Gersemia fruticosa;19;Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;A;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northwest Pacific;Sea of Okhotsk;Polar;85;360;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Gersemia rubiformis;Alcyoniina;Nephtheidae;Gersemia;Gersemia rubiformis;156103;Species;Gersemia rubiformis;19;Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;A;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northwest Pacific;Sea of Okhotsk;Polar;27;27;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Calyptrophora japonica;Calcaxonia;Primnoidae;Calyptrophora;Calyptrophora japonica;287653;Species;Calyptrophora japonica;19;Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;B;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northwest Pacific;Sea of Okhotsk;Polar;460;460;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Plumarella sp.;Calcaxonia;Primnoidae;Plumarella;NA;177839;Genus;Plumarella sp.;19;Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;NA;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northwest Pacific;Sea of Okhotsk;Polar;80;200;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoa pacifica;Calcaxonia;Primnoidae;Primnoa;Primnoa pacifica;286539;Species;Primnoa pacifica;19;Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;B;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northwest Pacific;Sea of Okhotsk;Polar;130;130;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Thouarella sp.;Calcaxonia;Primnoidae;Thouarella;NA;125323;Genus;Thouarella sp.;19;Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;B;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northwest Pacific;Sea of Okhotsk;Polar;80;620;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Acanthogorgia sp.;Holaxonia;Acanthogorgiidae;Acanthogorgia;NA;125293;Genus;Acanthogorgia sp.;19;Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;A;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northwest Pacific;Sea of Okhotsk;Polar;140;140;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Calcigorgia spiculifera;Holaxonia;Acanthogorgiidae;Calcigorgia;Calcigorgia spiculifera;378316;Species;Calcigorgia spiculifera;19;Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;A;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northwest Pacific;Sea of Okhotsk;Polar;130;130;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paragorgia arborea;Scleraxonia;Paragorgiidae;Paragorgia;Paragorgia arborea;125418;Species;Paragorgia arborea;19;Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;NA;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northwest Pacific;Sea of Okhotsk;Polar;170;170;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Anthomastus bathyproctus;Alcyoniina;Alcyoniidae;Anthomastus;Anthomastus bathyproctus;286011;Species;Anthomastus bathyproctus;20;Mehrotra et al;2016;A large gape facilitates predation on salps by Heteropsammia corals;Marine Biodiversity;C;NA;Azooxanthellate;Central Indo-Pacific;Sunda Shelf;Gulf of Thailand;Tropical;14;14;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia flexibilis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia flexibilis;288521;Species;Sinularia flexibilis;21;Piccinetti et al;2016;Herbivory in the soft coral Sinularia flexibilis (Alcyoniidae);Scientific Reports;A;C;Zooxanthellate;Central Indo-Pacific;NA;NA;Tropical;NA;NA;Laboratorial study;1;Experimental diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Anthomastus;Alcyoniina;Alcyoniidae;Anthomastus;NA;125285;Genus;Anthomastus sp.;22;Taylor et al;2016;Plastic microfibre ingestion by deep-sea organisms;Scientific Reports;C;NA;Azooxanthellate;NA;NA;NA;NA;562;562;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pennatulacea;Pennatulacea;NA;NA;NA;1367;Order;Pennatulacea sp.;22;Taylor et al;2016;Plastic microfibre ingestion by deep-sea organisms;Scientific Reports;NA;NA;Azooxanthellate;;NA;NA;NA;954;954;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;23;Viladrich et al;2016;Variation in lipid and free fatty acid content during spawning in two temperate octocorals with different reproductive strategies: surface versus internal brooder;Coral Reefs;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;25;30;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Corallium rubrum;Scleraxonia;Coralliidae;Corallium;Corallium rubrum;125416;Species;Corallium rubrum;23;Viladrich et al;2016;Variation in lipid and free fatty acid content during spawning in two temperate octocorals with different reproductive strategies: surface versus internal brooder;Coral Reefs;C;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;25;30;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Antillogorgia acerosa;Holaxonia;Gorgoniidae;Antillogorgia;Antillogorgia acerosa;367982;Species;Antillogorgia acerosa;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;NA;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;186;NA;1;ok;Fig. 1. We used Data Thief III.
Gorgonia ventalina;Holaxonia;Gorgoniidae;Gorgonia;Gorgonia ventalina;290045;Species;Gorgonia ventalina;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;187;NA;1;ok;Fig. 1. We used Data Thief III.
Pterogorgia anceps;Holaxonia;Gorgoniidae;Pterogorgia;Pterogorgia anceps;290922;Species;Pterogorgia anceps;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;129;NA;1;ok;Fig. 1. We used Data Thief III.
Eunicea calyculata;Holaxonia;Plexauridae;Eunicea;Eunicea calyculata;283235;Species;Eunicea calyculata;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;1;ok;Fig. 1. We used Data Thief III.
Eunicea flexuosa;Holaxonia;Plexauridae;Eunicea;Eunicea flexuosa;834203;Species;Eunicea flexuosa;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;98;NA;1;ok;Fig. 1. We used Data Thief III.
Eunicea mammosa;Holaxonia;Plexauridae;Eunicea;Eunicea mammosa;283254;Species;Eunicea mammosa;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;145;NA;1;ok;Fig. 1. We used Data Thief III.
