OrigName;Group;Family;Genus;Species;AphiaID;rank;UsedName;study ID;Authors;Year;Title;Journal;OctoClade;ZooClade;Symbiont;Realm;Province;Ecoregion;Climate;DepthMin;DepthMax;StudyType;StudyTypeN;ResearchProblem;ResearchProblemN;Hmean;Hsd;Hconsidering;Pmean;Psd;Rmean;Rsd;CHARmean;CZARmean;SfG;count;revision ok?;info
Alcyonium hibernicum;Alcyoniina;Alcyoniidae;Alcyonium;Alcyonium hibernicum;178914;Species;Alcyonium hibernicum;67;Bell et al;2006;Factors controlling the tentacle and polyp expansion behaviour of selected temperate Anthozoa;Journal of the Marine Biological Association of the United Kingdom;A;NA;Azooxanthellate;Temperate Northern Atlantic;Northern European Seas;Celtic Seas;Temperate;12;12;"Descriptive field study; Laboratorial study";2;"Feeding activity rhythms; Feeding responses to environmental forces";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Alcyonium antarcticum;Alcyoniina;Alcyoniidae;Alcyonium;Alcyonium antarcticum;231819;Species;Alcyonium antarcticum;68;Conlan et al;2006;?13C and ?15N shifts in benthic invertebrates exposed to sewage from McMurdo Station, Antarctica;Marine Pollution Bulletin;A;NA;Azooxanthellate;Southern Ocean;Continental High Antarctic;Ross Sea;Polar;18;18;Descriptive field study;1;"Feeding responses to environmental forces; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Anthomastus bathyproctus;Alcyoniina;Alcyoniidae;Anthomastus;Anthomastus bathyproctus;286011;Species;Anthomastus bathyproctus;69;Gili et al;2006;A new trophic link between the pelagic and benthic systems on the Antarctic shelf;Marine Ecology Progress Series;C;NA;Azooxanthellate;Southern Ocean;Scotia Sea;Antarctic Peninsula;Polar;130;170;Descriptive field study;1;"Natural diet description; Prey selectivity";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;70;Rossi et al;2006;Temporal variation in protein, carbohydrate, and lipid concentrations in Paramuricea clavata (Anthozoa, Octocorallia): Evidence for summer-autumn feeding constraints;Marine Biology;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;18;18;Descriptive field study;1;Seasonal variability;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;71;Rossi et al;2006;Protein, carbohydrate, lipid concentrations and HSP 70-HSP 90 (stress protein) expression over an annual cycle: Useful tools to detect feeding constraints in a benthic suspension feeder;Helgoland Marine Research;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;18;18;Descriptive field study;1;Seasonal variability;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Corallium rubrum;Scleraxonia;Coralliidae;Corallium;Corallium rubrum;125416;Species;Corallium rubrum;72;Tsounis et al;2006;Diet and seasonal prey capture rates in the Mediterranean red coral (Corallium rubrum L.);Marine Biology;C;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;9;40;Experimental field study;1;"Natural diet description; Prey selectivity; 1Seasonal variability";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoa pacifica;Calcaxonia;Primnoidae;Primnoa;Primnoa pacifica;286539;Species;Primnoa pacifica;73;Sherwood et al;2005;Stable isotopic composition of deep-sea gorgonian corals Primnoa spp.: A new archive of surface processes;Marine Ecology Progress Series;B;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northeast Pacific;Gulf of Alaska;Temperate;64;913;Descriptive field study;1;"Natural diet description; Record of environmental changes";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoa pacifica;Calcaxonia;Primnoidae;Primnoa;Primnoa pacifica;286539;Species;Primnoa pacifica;73;Sherwood et al;2005;Stable isotopic composition of deep-sea gorgonian corals Primnoa spp.: A new archive of surface processes;Marine Ecology Progress Series;B;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northeast Pacific;North American Pacific Fijordland;Temperate;65;378;Descriptive field study;1;"Natural diet description; Record of environmental changes";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoa resedaeformis;Calcaxonia;Primnoidae;Primnoa;Primnoa resedaeformis;125411;Species;Primnoa resedaeformis;73;Sherwood et al;2005;Stable isotopic composition of deep-sea gorgonian corals Primnoa spp.: A new archive of surface processes;Marine Ecology Progress Series;B;NA;Azooxanthellate;Temperate Northern Atlantic;Cold Temperate Northwest Atlantic;Gulf of Maine/Bay of Fundy;Temperate;250;604;Descriptive field study;1;"Natural diet description; Record of environmental changes";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoa resedaeformis;Calcaxonia;Primnoidae;Primnoa;Primnoa resedaeformis;125411;Species;Primnoa resedaeformis;74;Sherwood et al;2005;Radiocarbon evidence for annual growth rings in the deep-sea octocoral Primnoa resedaeformis;Marine Ecology Progress Series;B;NA;Azooxanthellate;Temperate Northern Atlantic;Cold Temperate Northwest Atlantic;Gulf of Maine/Bay of Fundy;Temperate;250;475;Descriptive field study;1;"Natural diet description; Food web description; Record of environmental changes";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Plexaura homomalla;Holaxonia;Plexauridae;Plexaura;Plexaura homomalla;290797;Species;Plexaura homomalla;75;Ward-Paige et al;2005;Reconstruction of nitrogen sources on coral reefs: ?15N and ?13C in gorgonians from Florida Reef Tract;Marine Ecology Progress Series;A;B, C, B&C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Floridian;Tropical;3;10;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Plexaura homomalla;Holaxonia;Plexauridae;Plexaura;Plexaura homomalla;290797;Species;Plexaura homomalla;75;Ward-Paige et al;2005;Reconstruction of nitrogen sources on coral reefs: ?15N and ?13C in gorgonians from Florida Reef Tract;Marine Ecology Progress Series;A;B, C, B&C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Floridian;Tropical;3;10;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Tripalea clavaria;Scleraxonia;Spongiodermidae;Tripalea;Tripalea clavaria;291239;Species;Tripalea clavaria;76;Acuña et al;2004;Feeding habits of the temperate octocoral Tripalea clavaria (Studer, 1878) (Octocorallia, Gorgonaria, Anthothelidae), from sublittoral outcrops off Mar del Plata, Argentina;Belgian Journal of Zoology;NA;NA;Azooxanthellate;Temperate South America;Warm Temperate Southwestern Atlantic;Uruguay–Buenos Aires Shelf;Temperate;18;20;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Leptogorgia sarmentosa;Holaxonia;Gorgoniidae;Leptogorgia;Leptogorgia sarmentosa;125369;Species;Leptogorgia sarmentosa;77;Rossi et al;2004;Temporal variability in zooplankton prey capture rate of the passive suspension feeder Leptogorgia sarmentosa (Cnidaria: Octocorallia), a case study;Marine Biology;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;20;20;"Descriptive field study; Laboratorial study";2;"Natural diet description; Prey selectivity; Seasonal variability";3;136;14;Zooplankton;NA;NA;155;67;87.7;NA;-19;1;ok;Original data: 136±14  µgC.AFDW-1.hour-1. Rc from Ribes et al 2003. Then we calculated the CHAR and SfG
Plexaura kuna;Holaxonia;Plexauridae;Plexaura;Plexaura kuna;290799;Species;Plexaura kuna;78;Goulet et al;2003;Stability of an octocoral-algal symbiosis over time and space;Marine Ecology Progress Series;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;"Southwestern Caribbean; Floridian";Tropical;<5;20;Descriptive field study;1;"Bleaching; Other subjects";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoisis (Primnoisis) antarctica;Calcaxonia;Mopseidae;Primnoisis;Primnoisis (Primnoisis) antarctica;869818;Species;Primnoisis (Primnoisis) antarctica;79;Orejas et al;2003;Role of small-plankton communities in the diet of two Antarctic octocorals (Primnoisis antarctica and Primnoella sp.);Marine Ecology Progress Series;NA;NA;Azooxanthellate;Southern Ocean;Subantarctic Islands;Weddell Sea;Polar;200;500;"Descriptive field study; Laboratorial study";2;"Natural diet description; Prey selectivity";2;0.6;0.1;"DOC; Phytoplankton; Zooplankton";NA;NA;1.1;NA;49;NA;-0.6;1;ok;Original data: 1.32±0.13 *10^-5  mgC mgAFDM-1 day-1
Primnoella sp.;Calcaxonia;Primnoidae;Primnoella;NA;125322;Genus;Primnoella sp.;79;Orejas et al;2003;Role of small-plankton communities in the diet of two Antarctic octocorals (Primnoisis antarctica and Primnoella sp.);Marine Ecology Progress Series;B;NA;Azooxanthellate;Southern Ocean;Subantarctic Islands;Weddell Sea;Polar;60;1000;"Descriptive field study; Laboratorial study";2;"Natural diet description; Prey selectivity";2;14.7;1.3;"DOC; Phytoplankton; Zooplankton";NA;NA;NA;NA;NA;NA;NA;1;ok;Original data: 3.52±0.31 *10^-5  mgC mgAFDM-1 day-1
Leptogorgia sarmentosa;Holaxonia;Gorgoniidae;Leptogorgia;Leptogorgia sarmentosa;125369;Species;Leptogorgia sarmentosa;80;Ribes et al;2003;Natural feeding of the temperate asymbiotic octocoral-gorgonian Leptogorgia sarmentosa (Cnidaria: Ocotocorallia);Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;20;20;Descriptive field study;1;"Natural diet description; Prey selectivity";2;469;90;POC;NA;NA;155;67;302.6;NA;314;1;ok;Original data: Hc and Rc
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;81;Coma et al;2002;Seasonality of in situ respiration rate in three temperate benthic suspension feeders;Limnology and Oceanography;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;15;15;Descriptive field study;1;Seasonal variability;1;NA;NA;NA;NA;NA;188.3;132.1;NA;NA;NA;1;ok;Original data: Rc = 0.67 ± 0.47 mg O2 g AFDM-1 h-1. The data expressed in units of oxygen were converted into  units of carbon by using a conversion factor of 0.281, based on McCloskey et al. (1978).
Primnoa resedaeformis;Calcaxonia;Primnoidae;Primnoa;Primnoa resedaeformis;125411;Species;Primnoa resedaeformis;82;Heikoop et al;2002;Potential climate signals from the deep-sea gorgonian coral Primnoa resedaeformis;Hydrobiologia;B;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northeast Pacific;Gulf of Alaska;Polar;64;549;Descriptive field study;1;"Natural diet description; Food web description; Record of environmental changes";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Acanthogorgia sp.;Holaxonia;Acanthogorgiidae;Acanthogorgia;NA;125293;Genus;Acanthogorgia sp.;83;Lin et al;2002;Modeling the effects of satiation on the feeding rate of a colonial suspension feeder, Acanthogorgia vegae, in a circulating system under lab conditions;Zoological Studies;A;NA;Azooxanthellate;NA;NA;NA;NA;NA;NA;Laboratorial study;1;Experimental diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Alcyonium digitatum;Alcyoniina;Alcyoniidae;Alcyonium;Alcyonium digitatum;125333;Species;Alcyonium digitatum;84;Migné and Davoult;2002;Experimental nutrition in the soft coral Alcyonium digitatum (Cnidaria: Octocorallia): Removal rate of phytoplankton and zooplankton;Cahiers de Biologie Marine;A;NA;Azooxanthellate;Temperate Northern Atlantic;Northern European Seas;North Sea;Temperate;37;37;Laboratorial study;1;"Experimental diet description; Prey selectivity; Feeding responses to environmental forces";3;950;550;"Zooplankton; Phytoplankton";NA;NA;160;NA;593.8;NA;790;1;ok;Original data: Hc and Rc
Thouarella variabilis;Calcaxonia;Primnoidae;Thouarella;Thouarella (Thouarella) variabilis;286574;Species;Thouarella (Thouarella) variabilis;85;Orejas et al;2002;Benthic suspension feeders, key players in Antartic marine ecosystems?;Contributions to Science;B;NA;Azooxanthellate;Southern Ocean;NA;NA;Polar;NA;NA;Descriptive field study;1;"Natural diet description; Seasonal variability";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Clavularia frankliniana;Stolonifera;Clavulariidae;Clavularia;Clavularia frankliniana;231820;Species;Clavularia frankliniana;85;Orejas et al;2002;Benthic suspension feeders, key players in Antartic marine ecosystems?;Contributions to Science;A;NA;Azooxanthellate;Southern Ocean;NA;NA;Polar;NA;NA;Descriptive field study;1;"Natural diet description; Seasonal variability";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;86;Coma et al;2001;The ultimate opportunists: consumers of seston;Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;NA;NA;Descriptive field study;1;"Natural diet description; Prey selectivity";2;179;10;"POC; Phytoplankton; Zooplankton";NA;NA;NA;NA;NA;NA;NA;1;ok;Original data: Hc 
Lobophytum compactum;Alcyoniina;Alcyoniidae;Lobophytum;Lobophytum compactum;288775;Species;Lobophytum compactum;87;Michalek-Wagner and Willis;2001;Impacts of bleaching on the soft coral Lobophytum compactum. Ii. Biochemical changes in adults and their eggs;Coral Reefs;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;3;4;Descriptive field study;1;Bleaching;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Anthomastus bathyproctus;Alcyoniina;Alcyoniidae;Anthomastus;Anthomastus bathyproctus;286011;Species;Anthomastus bathyproctus;88;Orejas et al;2001;Feeding strategies and diet composition of four Antarctic cnidarian species;Polar Biology;C;NA;Azooxanthellate;Southern Ocean;Scotia Sea;Antarctic Peninsula;Polar;400;450;Descriptive field study;1;"Natural diet description; Prey selectivity; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Clavularia cf. frankliniana;Stolonifera;Clavulariidae;Clavularia;Clavularia frankliniana;231820;Species;Clavularia frankliniana;88;Orejas et al;2001;Feeding strategies and diet composition of four Antarctic cnidarian species;Polar Biology;A;NA;Azooxanthellate;Southern Ocean;Scotia Sea;Antarctic Peninsula;Polar;400;450;Descriptive field study;1;"Natural diet description; Prey selectivity; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Dendronephthya sp.;Alcyoniina;Nephtheidae;Dendronephthya;NA;206503;Genus;Dendronephthya sp.;89;Widdig and Schlichter;2001;Phytoplankton: A significant trophic source for soft corals?;Helgoland Marine Research;A;NA;Azooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;1;8;"Descriptive field study; Laboratorial study";2;"Natural diet description; Experimental diet description; Prey selectivity";3;65.5;NA;Phytoplankton;NA;NA;252.1;NA;26;NA;NA;1;ok;Original data: Rc and CHAR. Then we calculated the Hc 
Heteroxenia fuscescens;Alcyoniina;Xeniidae;Heteroxenia;Heteroxenia fuscescens;210004;Species;Heteroxenia fuscescens;90;Ben-David-Zaslow and Benayahu;2000;Biochemical composition, metabolism, and amino acid transport in planula-larvae of the soft coral Heteroxenia fuscescens;Journal of Experimental Zoology;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;NA;NA;"Descriptive field study; Laboratorial study";2;"Experimental diet description; Other subjects";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia capitalis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia capitalis;288500;Species;Sinularia capitalis;91;Fabricius and Dommisse;2000;Depletion of suspended particulate matter over coastal reef communities dominated by zooxanthellate soft corals;Marine Ecology Progress Series;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;5;10;Descriptive field study;1;Prey selectivity;1;41.7;NA;"POC; Phytoplankton";NA;NA;NA;NA;NA;NA;NA;1;ok;Original data: 0.01 g C (g AFDW)-1 d-1. S. flexibilis and S. capitalis represent 73% of the community
Sinularia flexibilis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia flexibilis;288521;Species;Sinularia flexibilis;91;Fabricius and Dommisse;2000;Depletion of suspended particulate matter over coastal reef communities dominated by zooxanthellate soft corals;Marine Ecology Progress Series;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;5;10;Descriptive field study;1;Prey selectivity;1;41.7;NA;"POC; Phytoplankton";NA;NA;NA;NA;NA;NA;NA;1;ok;Original data: 0.01 g C (g AFDW)-1 d-1. S. flexibilis and S. capitalis represent 73% of the community
Sarcophyton ehrenbergi;Alcyoniina;Alcyoniidae;Sarcophyton;Sarcophyton ehrenbergi;209622;Species;Sarcophyton ehrenbergi;92;Fleury et al;2000;Effect of nutrient enrichment on the complementary (secondary) metabolite composition of the soft coral Sarcophyton ebrenbergi (Cnidaria: Octocorallia: Alcyonaceae) of the Great Barrier Reef;Marine Biology;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;4;4;Experimental field study;1;Feeding responses to environmental forces;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Heteroxenia fuscescens;Alcyoniina;Xeniidae;Heteroxenia;Heteroxenia fuscescens;210004;Species;Heteroxenia fuscescens;93;Ben-David-Zaslow and Benayahu et al;1999;Temporal variation in lipid, protein and carbohydrate content in the Red Sea soft coral Heteroxenia fuscescens;Journal of the Marine Biological Association of the United Kingdom;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;3;6;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Heteroxenia fuscescens;Alcyoniina;Xeniidae;Heteroxenia;Heteroxenia fuscescens;210004;Species;Heteroxenia fuscescens;94;Ben-David-Zaslow et al;1999;Reproduction in the Red Sea soft coral Heteroxenia fuscescens: Seasonality and long-term record (1991 to 1997);Marine Biology;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;3;6;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Alcyonium acaule;Alcyoniina;Alcyoniidae;Alcyonium;Alcyonium acaule;125331;Species;Alcyonium acaule;95;Garrabou and Wainwright;1999;Life-history traits of Alcyonium acaule and Parazoanthus axinellae (Cnidaria, Anthozoa), with emphasis on growth;Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;11;13;Descriptive field study;1;Feeding activity rhythms;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;96;Ribes et al;1999;Heterogeneous feeding in benthic suspension feeders: the natural diet and grazing rate of the temperate gorgonian Paramuricea clavata (Cnidara: Octocorallia) over a year cycle;Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;15;15;Experimental field study;1;"Natural diet description; Prey selectivity";2;7.9;7.1;"DOC; POC; Phytoplankton; Zooplankton";NA;NA;NA;NA;100;NA;NA;1;ok;Original data: 0.19±0.17  µgC. µgC-1.d-1 (Hc). Char was calculated based on Rc (556 ngC.polyp-1.day-1), and Hc (270 + 275 + 21  = 556 ngC.polyp-1.day-1)
Rhytisma fulvum;Alcyoniina;Alcyoniidae;Rhytisma;Rhytisma fulvum;290991;Species;Rhytisma fulvum;97;Ben-David-Zaslow and Benayahu et al;1998;Competence and longevity in planulae of several species of soft corals;Marine Ecology Progress Series;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;NA;NA;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Dendronephthya hemprichi;Alcyoniina;Nephtheidae;Dendronephthya;Dendronephthya hemprichi;213027;Species;Dendronephthya hemprichi;97;Ben-David-Zaslow and Benayahu et al;1998;Competence and longevity in planulae of several species of soft corals;Marine Ecology Progress Series;A;NA;Azooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;NA;NA;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Litophyton arboreum;Alcyoniina;Nephtheidae;Litophyton;Litophyton arboreum;213038;Species;Litophyton arboreum;97;Ben-David-Zaslow and Benayahu et al;1998;Competence and longevity in planulae of several species of soft corals;Marine Ecology Progress Series;A;A;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;NA;NA;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Xenia umbellata;Alcyoniina;Xeniidae;Xenia;Xenia umbellata;210023;Species;Xenia umbellata;97;Ben-David-Zaslow and Benayahu et al;1998;Competence and longevity in planulae of several species of soft corals;Marine Ecology Progress Series;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;NA;NA;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Dendronephthya hemprichi;Alcyoniina;Nephtheidae;Dendronephthya;Dendronephthya hemprichi;213027;Species;Dendronephthya hemprichi;98;Fabricius et al;1998;In situ depletion of phytoplankton by an azooxanthellate soft coral;Limnology and Oceanography;A;NA;Azooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;NA;NA;"Descriptive field study; Experimental field study";2;Natural diet description;1;341.7;79.2;Phytoplankton;NA;NA;269.2;55;126.9;NA;NA;1;ok;Original data on mg C g-1 colony AFDW d-1
Rhytisma fulvum;Alcyoniina;Alcyoniidae;Rhytisma;Rhytisma fulvum;290991;Species;Rhytisma fulvum;99;Gateño et al;1998;Gastrovascular circulation in an octocoral: Evidence of significant transport of coral and symbiont cells;Biological Bulletin;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;3;12;Laboratorial study;1;"Bleaching; Other subject";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicea flexuosa;Holaxonia;Plexauridae;Eunicea;Eunicea flexuosa;834203;Species;Eunicea flexuosa;100;Ribes et al;1998;Heterotrophic feeding by gorgonian corals with symbiotic zooxanthella;Limnology and Oceanography;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;"Southwestern Caribbean; Floridian";Tropical;3;3;Descriptive field study;1;"Natural diet description; Experimental diet description; Prey selectivity";3;2.1;NA;"Zooplankton; Phytoplankton";NA;NA;532.1;78.3;0.4;NA;NA;1;ok;Original data on Rc and CHAR. Then we calculated the Hc
Pseudoplexaura porosa;Holaxonia;Plexauridae;Pseudoplexaura;Pseudoplexaura porosa;290881;Species;Pseudoplexaura porosa;100;Ribes et al;1998;Heterotrophic feeding by gorgonian corals with symbiotic zooxanthella;Limnology and Oceanography;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;"Southwestern Caribbean; Floridian";Tropical;NA;NA;Descriptive field study;1;"Natural diet description; Experimental diet description; Prey selectivity";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Plexaura homomalla;Holaxonia;Plexauridae;Plexaura;Plexaura homomalla;290797;Species;Plexaura homomalla;101;Kim and Lasker;1997;Flow-mediated resource competition in the suspension feeding gorgonian Plexaura homomalla (Esper);Journal of Experimental Marine Biology and Ecology;A;B, C, B&C;Zooxanthellate;Tropical Eastern Pacific;Tropical East Pacific;Panama Bight;Tropical;5;5;Experimental field study;1;Other subject;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Gersemia antarctica;Alcyoniina;Nephtheidae;Gersemia;Gersemia antarctica;287390;Species;Gersemia antarctica;102;Slattery et al;1997;Deposit feeding: a novel mode of nutrition in the Antarctic colonial soft coral Gersemia antarctica;Marine Ecology Progress Series;A;NA;Azooxanthellate;Southern Ocean;Continental High Antarctic;Ross Sea;Polar;46;46;Descriptive field study;1;Natural diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Lobophytum spp. (shallow);Alcyoniina;Alcyoniidae;Lobophytum;NA;206153;Genus;Lobophytum spp. (shallow);103;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;5;20;Experimental field study;1;"Natural diet description; Role of autotrophy; Feeding responses to environmental forces";1;NA;NA;NA;166.7;NA;112.5;NA;NA;148.1;NA;1;ok;Original data in mgC.gAFDW-1.d-1 (table 4) and we used the formula Pn = Pg - R
Lobophytum spp. (deep);Alcyoniina;Alcyoniidae;Lobophytum;NA;206153;Genus;Lobophytum spp. (deep);103;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;5;20;Experimental field study;1;"Natural diet description; Role of autotrophy; Feeding responses to environmental forces";1;NA;NA;NA;129.2;NA;141.7;NA;NA;91.2;NA;1;ok;Original data in mgC.gAFDW-1.d-1 (table 4) and we used the formula Pn = Pg - R
Sarcophyton spp. (shallow);Alcyoniina;Alcyoniidae;Sarcophyton;NA;205483;Genus;Sarcophyton spp. (shallow);103;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;5;20;Experimental field study;1;"Natural diet description; Role of autotrophy; Feeding responses to environmental forces";1;NA;NA;NA;208.3;NA;158.3;NA;NA;131.6;NA;1;ok;Original data in mgC.gAFDW-1.d-1 (table 4) and we used the formula Pn = Pg - R
Sarcophyton spp. (deep);Alcyoniina;Alcyoniidae;Sarcophyton;NA;205483;Genus;Sarcophyton spp. (deep);103;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;5;20;Experimental field study;1;"Natural diet description; Role of autotrophy; Feeding responses to environmental forces";1;NA;NA;NA;283.3;NA;154.2;NA;NA;183.8;NA;1;ok;Original data in mgC.gAFDW-1.d-1 (table 4) and we used the formula Pn = Pg - R
